Author,Rating,Review
Kia Mullin,4,Very nice.
Dagang He,5,Good place for rest
Andrea Biancardi,3,Normal Timmy's
Sam Osbourne,4,Great coffee.
Greg Sarazen,5,Coffee served with a smile.
Helen Normandin,3,Service was great
Natalia M,5,Delicious and clean
Mech Ghost,4,Staff is nice
Jacqueline Morante Lama,4,Slow service
Kelly Tibs,3,The wait was long
Michael Peacock,3,Under staffed
Sean Joseph (Sean Joseph),5,Clean and Quiet.
vitor mateus,3,Ok
Hermione Joachim,4,Always fresh
Aneil Prashad,4,Staff are friendly
peter oldfield,3,Parking is difficult
Diego Rivera,4,Great service
James Durocher,5,Fast staff
Carlos Ruiz,5,Excellent service
Keith Mckoy,2,Slow
Rodney Gibson,5,Fast service
Jon T,2,Eh
TK,5,Friendly staff
Ralph Chery,3,Busy location
The Galaxy Brothers,5,friendly services
Orin Verkempinck,5,Great place...
Wesley Sifflet,5,Nice place
Ronald Mchattie,5,Ahh DONUTS
ken b,4,Coffee etc...
Candy Flood,4,Slow service
maxime gauthier,1,Great place
Dimitri Liakopoulos,4,"On February 19, I was with a friend when an unpleasant scene occurred. A woman severely reprimanded a young employee, whom my friends and I know well for his good humor and his friendliness towards customers. Her behavior towards him was excessively harsh and unprofessional, especially in front of customers. Touched by the situation, I decided to tip the young man to show my support, as he seemed both sad and embarrassed, while remaining kind to the woman. It seemed to me that the latter should have chosen a more appropriate place to reprimand him, out of sight. This scene moved me deeply, making me imagine my own son in his place. It broke my heart. Even if the young person had made mistakes, there was surely a more constructive way to make them understood to him without publicly humiliating him."
Robert Robert,1,"I always go at 7 in the morning and the staff is very friendly, fast and attentive. Everything clean and the food excellent"
Diego PL,5,"I received a chicken wrap without chicken and with uncooked bacon. Tim Horton's has become one of the worst restaurants, even their coffee has become terrible."
Stephen Rozz,1,"Service still courteous but that's all
The toilets are generally clean
Not much else to say"
Ronaldine Cadet,4,"Terrible service. I ordered a soup but the customers after me who ordered a sandwich went before... no cabaret for the service. The tables are all dirty. Nobody speaks French. Avoid very slow service. Take one order at a time, impossible to make 2 coffees."
Vinny Maxta,1,OK overall. It's a Tim Hortons without drive-thru ordering. Fresh produce in the morning but leaves something to be desired in the afternoon.
Eric Bourguet,3,The food and service were good without being fantastic but the tables were dirty and the trash can was full.
Erika Murillo,4,"This Tim doesn't speak French. The service is 0. The meals are not good at all. Commands are misunderstood and poorly executed. What you order does not arrive as requested. The staff is not professional and often laugh at the customers. This place is not recommendable at all, you are not welcome if you are French speaking."
Riette Gauthier,1,A Tim Hortons no donuts! NO DONUTS WOW. We got there
Marc Blanchette,1,"Service 0 I ordered a cheese bagel
He served me a reheated bagel, that’s all
It’s a theft of trust the servers are lousy the service at 07 am"
Amar Albane,1,"On Sunday, with a cash register and a line to the door, isn't that logical?! You lose sales when people leave! No drive-through service. And the last time I grabbed a donut after work, it was dry and not edible.... You always get the orders wrong... It seems like you don't care about losing customers.... I don't go to your house anymore. Well tired of the crappy service."
Eric Bourguet,1,"Monday May 23, 2022, Unilingual English-speaking cashier, no seasoning (mayonnaise) in the BLT sandwich as well as in the crispy chicken. Messy place, see the floors, the toilets as well as the trash can for table scraps which was overflowing. Very disappointing."
Suzy Gingras,1,"There were three of us customers waiting for our order, it really took a long time and there were 7 employees behind the counter... two at the cash registers, one for the coffee and one for the sandwiches... the others were just chatting so it was super long. I hate it when I feel like I'm bothering you. Plus when I got my sandwich it was cut in half, you had one job to do.... Ah yes! What's the problem with cabarets and their rounded bottoms? Am I the only one who doesn't find it a winner with a bottle of water?"
Marc St-jean,2,If you are looking for a good Tim the mocha made by Newran are excellent the staff and friendly professional always a pleasure Thank you
Judith p.c,5,Order 2 soups 2 coffees 2 donuts arrives at destination 1 spoon for 2 soups and no donut out of 3 employees only 1 was bilingual the other 2 were unilingual English in this case I only speak French the most funny they were talking about me without knowing that I understood English 1st and last time I go to this Tim corner St Jean and Hymus
Marie Andree Clermont,1,"The cashier was arguing with an employee who was sitting directly on the floor where the donut rack goes, cleaning the walls.  To find out who's going to put my dozen donuts in my box because neither of them had enough heart in their stomachs.   It was the one sitting on the floor who did it reluctantly without even washing her hands.  I will never go to that Tim Horton again."
vincent boisvert,1,I wanted my favorite sandwich but the bread was missing and the coffee tasted weird.
Ion Dragoescu,1,Cold and slow customer service. They get the orders wrong and if you want to be served in French go elsewhere.
Marie-Eve Tremblay,1,No service in French...
McFish666 MF666,1,Typical Tim Horton's. Not much atmosphere but you can still relax there...
Dien Long Luong,3,No drive-thru but the service is very fast so it more than makes up for it
Luc Lemieux,5,"Food ok, staff not too friendly, very cold and the places leave something to be desired"
Sebastien Dube,1,Defreshed location. Empty counter (I only had 1 choice of muffin) Unfriendly clerk. No dark coffee
Genevieve Berard,2,"The place was not clean, you have to check the order placed because some products were missing 🤔 …"
Alain Frechette,2,Convenient quick service
Hadjer Aoufi,4,Rotten service hellish wait and I complained to the manager of FDS and she didn't care
Joanne Lacoste,1,Delicious donut and coffee that gives you energy for the whole day!
Zaya Zaia,5,NO HAND SANITIZER REALLY NOT SMART IN THESE TIMES OF CONTAGION
Charles Vanden Abeele,1,Canada’s local coffee shop is like China’s fried dough sticks and soy milk shop
Tao,4,Tim is magic for the uniformity of products throughout Quebec
Annie Filiatreault,4,The coffee is very delicious
miguel angel rodriguez olivarez,5,Their toilets are poorly made and small
Tawfik Guessous,3,Good coffee
francois cayer,4,Terrible vanilla coffee.
Thrift all Stars,1,Very fast despite a long line of cars
Jean Pierre Lavalliere,5,Always good service here. THANKS.
Carla Mancini,5,Cold service sometimes negligent
Paul Boudreau,1,No drive-thru order
Dominic Gagnier,4,Loyal customer every day
A. R2,5,good service fresh food
Isa Belle,5,It's okay
jack kacou,5,Good service
Garry Talma,4,Quiet for an hour. Impersonal.
Dien Long Luong,3,I like the service
Zu Qiang,5,Very good service
Alain couture,5,Fast and effective
Francyn Gauthier,4,Best latte coffee
Momo,5,Fast service
MUSTAFA GÜN,5,GOOD
Francine Bigras,5,The taste is average.
harith hakem,5,A1
Matthew Olsthoorn,5,Staff shortages.
Cherin Sy,5,Good places
Ammu Singh,5,VERY GOOD
Nu Dub (indipride),3,Good service
Bernard,5,Fast service
Isaac Rochefort,5,Fast and effective...
